date,price_amzn,price_sp500
08/23/2018,95.14,2856.98
08/24/2018,95.27,2874.69
08/27/2018,96.38,2896.74
08/28/2018,96.64,2897.52
08/29/2018,99.91,2914.04
08/30/2018,100.12,2901.13
08/31/2018,100.64,2901.52
09/04/2018,101.98,2896.72
09/05/2018,99.74,2888.6
09/06/2018,97.92,2878.05
09/07/2018,97.6,2871.68
09/10/2018,96.95,2877.13
09/11/2018,99.36,2887.89
09/12/2018,99.5,2888.92
09/13/2018,99.49,2904.18
09/14/2018,98.51,2904.98
09/17/2018,95.4,2888.8
09/18/2018,97.05,2904.31
09/19/2018,96.32,2907.95
09/20/2018,97.22,2930.75
09/21/2018,95.75,2929.67
09/24/2018,96.72,2919.37
09/25/2018,98.73,2915.56
09/26/2018,98.74,2905.97
09/27/2018,100.65,2914
09/28/2018,100.15,2913.98
10/01/2018,100.22,2924.59
10/02/2018,98.57,2923.43
10/03/2018,97.64,2925.51
10/04/2018,95.47,2901.61
10/05/2018,94.48,2885.57
10/08/2018,93.22,2884.43
10/09/2018,93.52,2880.34
10/10/2018,87.76,2785.68
10/11/2018,85.97,2728.37
10/12/2018,89.43,2767.13
10/15/2018,88.05,2750.79
10/16/2018,91,2809.92
10/17/2018,91.59,2809.21
10/18/2018,88.54,2768.78
10/19/2018,88.2,2767.78
10/22/2018,89.47,2755.88
10/23/2018,88.44,2740.69
10/24/2018,83.21,2656.1
10/25/2018,89.11,2705.57
10/26/2018,82.14,2658.69
10/29/2018,76.94,2641.25
10/30/2018,76.52,2682.63
10/31/2018,79.9,2711.74
11/01/2018,83.28,2740.37
11/02/2018,83.28,2723.06
11/05/2018,81.39,2738.31
11/06/2018,82.14,2755.45
11/07/2018,87.77,2813.89
11/08/2018,87.75,2806.83
11/09/2018,85.62,2781.01
11/12/2018,81.84,2726.22
