Date_Time,JP_Morgan,Aflac,American_International_Group,Caterpillar,3M,Exxon,American_Express,Nextera,Qualcomm,Broadcom,Cisco,Square,Apple,Facebook,Deutsche_Boerse,Nasdaq_Inc
12/27/2022,131.74,72.24,63.33,243.14,120.22,110.19,146.39,84.00,109.46,553.54,47.53,59.86,130.03,116.88,168.45,60.98
12/28/2022,132.46,71.47,62.89,239.38,118.29,108.38,144.01,83.16,106.97,544.89,47.07,59.08,126.04,115.62,168.90,60.70
12/29/2022,133.22,72.08,63.63,240.20,120.57,109.20,147.32,84.08,109.84,557.81,47.50,62.92,129.61,120.26,166.55,61.87
12/30/2022,134.10,71.94,63.24,239.56,119.92,110.30,147.75,83.60,109.94,559.13,47.64,62.84,129.93,120.34,165.85,61.35
1/3/2023,135.12,71.58,62.93,238.88,122.47,106.51,147.12,83.83,107.20,553.48,47.94,64.64,125.07,124.74,164.60,61.76
1/4/2023,136.38,71.92,63.86,241.36,125.15,106.82,150.54,84.49,111.53,560.24,47.55,66.30,126.36,127.37,162.10,61.65
1/5/2023,135.35,71.50,63.51,240.28,122.96,109.21,146.43,82.63,109.40,555.02,46.88,64.71,125.02,126.94,165.05,60.24
1/6/2023,137.94,73.84,64.55,248.86,126.72,110.53,150.17,83.65,115.34,588.43,48.32,68.99,129.62,130.02,163.55,61.65
1/9/2023,137.37,71.45,63.87,246.62,126.79,108.47,150.40,84.07,114.61,576.89,48.58,69.06,130.15,129.47,163.45,62.61
1/10/2023,138.60,72.00,63.45,250.51,128.13,110.09,152.00,84.54,116.91,574.93,48.81,70.03,130.73,132.99,162.80,62.54
1/11/2023,139.63,71.91,63.46,250.73,129.12,111.37,153.92,85.00,118.39,578.14,49.21,71.67,133.49,132.89,162.25,63.02
1/12/2023,139.49,71.80,63.68,255.07,129.35,113.22,154.92,85.07,121.59,581.94,49.00,71.80,133.41,136.71,163.85,62.99
1/13/2023,143.01,72.85,64.41,258.46,129.51,113.15,155.76,84.68,120.24,579.00,48.88,71.65,134.76,136.98,161.40,63.35
1/17/2023,140.80,72.44,63.78,256.26,126.60,112.93,153.75,85.74,120.28,579.24,48.08,75.10,135.94,135.36,161.80,63.37
1/18/2023,136.57,71.88,62.21,252.82,122.75,110.61,150.42,83.80,122.04,574.29,46.90,72.11,135.21,133.02,161.10,62.80
1/19/2023,134.75,70.68,61.72,245.75,118.43,111.32,146.85,82.59,117.58,563.22,46.46,70.94,135.27,136.15,159.35,61.00
1/20/2023,135.08,71.05,62.47,249.71,120.65,113.35,151.60,81.82,122.90,570.78,46.78,76.16,137.87,139.37,157.40,62.06
1/23/2023,137.27,71.54,63.10,252.70,122.62,112.76,154.00,82.67,131.03,581.63,47.50,81.66,141.11,143.27,157.15,62.32
1/24/2023,138.45,72.80,63.16,257.61,115.00,113.81,155.33,83.90,130.70,585.03,47.81,80.79,142.53,143.14,159.95,61.92
1/25/2023,139.12,73.09,63.50,258.44,112.93,113.21,156.77,76.59,131.17,585.68,47.98,80.77,141.86,141.50,162.80,58.30
1/26/2023,139.98,72.96,63.98,262.12,113.55,117.76,155.88,76.40,133.96,598.58,48.34,81.19,143.96,147.30,162.85,60.11
1/27/2023,140.32,72.91,63.33,264.54,115.25,115.61,172.31,75.58,133.40,590.99,48.51,83.83,145.93,151.74,162.25,60.50
1/30/2023,139.13,73.04,63.17,261.50,112.58,113.56,172.66,75.05,131.63,581.45,48.22,79.79,143.00,147.06,162.95,59.65
1/31/2023,139.96,73.50,63.22,252.29,115.08,116.01,174.93,74.63,133.21,585.01,48.67,81.72,144.29,148.97,164.20,60.19
2/1/2023,139.59,73.28,61.23,249.54,115.86,114.74,173.61,74.24,138.46,602.75,48.57,83.90,145.43,153.12,163.75,59.50
2/2/2023,138.94,68.90,59.03,244.90,120.29,111.15,173.13,75.60,135.85,605.77,49.32,88.41,150.82,188.77,165.40,60.57
2/3/2023,141.09,69.39,58.75,247.76,117.49,111.92,178.86,74.67,135.02,597.62,48.63,84.71,154.50,186.53,165.95,60.55
2/6/2023,141.92,69.58,59.96,251.42,116.50,111.73,176.48,75.51,132.93,601.30,47.57,82.55,151.73,186.06,164.15,59.30
2/7/2023,143.65,69.95,60.61,249.66,116.90,114.92,178.70,76.08,136.63,614.45,47.84,83.18,154.65,191.62,162.05,59.95
2/8/2023,142.64,70.46,60.97,248.87,115.25,113.92,179.00,75.03,132.17,601.71,46.96,81.13,151.92,183.43,162.25,59.64
2/9/2023,140.42,69.63,60.87,246.28,112.93,114.35,179.37,73.27,130.53,599.41,46.73,76.18,150.87,177.92,162.50,58.98
2/10/2023,141.04,69.88,61.32,247.67,113.88,119.17,179.25,74.74,128.99,593.25,47.26,75.23,151.01,174.15,161.90,59.62
2/13/2023,142.57,71.01,61.96,248.15,115.28,117.80,181.33,75.62,130.84,601.12,47.86,76.82,153.85,179.43,161.90,59.59
2/14/2023,143.20,69.21,61.52,244.36,114.21,116.42,181.02,76.03,132.34,602.31,47.70,78.80,153.20,179.48,162.80,58.62
2/15/2023,143.80,69.27,61.83,248.70,114.79,116.07,180.67,76.94,133.07,607.69,48.45,82.69,155.33,177.16,164.25,59.16
2/16/2023,141.82,69.13,62.16,246.52,112.00,115.73,177.94,75.69,130.16,600.54,50.99,78.63,153.71,172.44,166.35,58.44
2/17/2023,142.24,69.37,60.82,247.79,112.99,111.28,177.30,76.07,127.72,595.59,50.77,75.02,152.55,172.88,169.45,58.56
2/21/2023,139.63,68.13,59.72,240.71,109.25,111.17,173.48,73.66,123.70,581.54,49.69,71.95,148.48,172.08,167.00,56.78
